阿姨;āyí;아주머니, 이모
啊;a;[문장 끝에 쓰여 긍정·감탄·찬탄을 나타냄]
矮;ǎi;(키가) 작다, (높이가) 낮다
爱;ài;사랑하다, 좋아하다
爱好;àihào;~하는 것을 즐기다, 취미
安静;ānjìng;조용하다, 고요하다
八;bā;8, 여덟
把;bǎ;~을/를
爸爸;bàba;아빠, 아버지
吧;ba;[문장 끝에 쓰여 청유·명령·추측을 나타냄]
白;bái;하얗다, 밝다
百;bǎi;100, 백
班;bān;그룹, 반
搬;bān;옮기다, 운반하다, 이사하다
办法;bànfǎ;방법, 수단
办公室;bàngōngshì;사무실
半;bàn;절반, 2분의 1
帮忙;bāngmáng;일(손)을 돕다, 도움을 주다
帮助;bāngzhù;돕다, 원조하다
包;bāo;(종이나 천 따위로) 싸다, 보따리
饱;bǎo;배부르다
报纸;bàozhǐ;신문
杯子;bēizi;잔, 컵
北方;běifāng;북방, 북쪽, 북부 지역
北京;Běijīng;베이징 [중국의 수도]
被;bèi;~에게 ~을 당하다
鼻子;bízi;코
比;bǐ;~에 비해, ~보다
比较;bǐjiào;비교하다, 비교적
比赛;bǐsài;경기, 시합
笔记本;bǐjìběn;노트, 수첩
必须;bìxū;반드시 ~해야 한다, 꼭 ~해야 한다
变化;biànhuà;변화하다, 달라지다
别;bié;이별하다, ~하지 마라
别人;biérén;다른 사람
宾馆;bīnguǎn;호텔
冰箱;bīngxiāng;냉장고
不;bù;[부정 부사]
不但而且;búdàn...érqiě;~할 뿐만 아니라 또한 ~하다
不客气;búkèqi;천만에요, 사양하지 않다
菜;cài;채소, 요리
菜单;càidān;메뉴, 식단
参加;cānjiā;참가하다, 가입하다
草;cǎo;풀
层;céng;층, 겹
茶;chá;차, 차로 만든 음료
差;chà;나쁘다, 부족하다
长;cháng;(길이, 시간 등이) 길다
唱歌;chànggē;노래 부르다
超市;chāoshì;슈퍼마켓
衬衫;chènshān;셔츠, 블라우스
成绩;chéngjì;성적, 결과
城市;chéngshì;도시
吃;chī;먹다
迟도;chídào;지각하다
出;chū;나가다, 나오다
出租车;chūzūchē;택시
除了;chúle;~을/를 제외하고
穿;chuān;(옷을) 입다, (신발 등을) 신다
船;chuán;배, 선박
春;chūn;봄
词典;cídiǎn;사전
次;cì;차례, 번, 회
聪明;cōngming;똑똑하다, 총명하다
从;cóng;~부터
错;cuò;틀리다, 잘못, 착오
打电话;dǎ diànhuà;전화를 걸다, 전화하다
打篮球;dǎ lánqiú;농구를 하다
打扫;dǎsǎo;청소하다
打算;dǎsuan;~할 생각이다, 계획
大;dà;크다, 넓다
大家;dàjiā;모두, 다들
带;dài;(몸에) 지니다, 휴대하다
担心;dānxīn;염려하다, 걱정하다
蛋糕;dàngāo;케이크
当然;dāngrán;당연하다, 물론이다
到;dào;도달하다, 도착하다
地;de;[부사어와 술어를 연결함]
得;de;[술어와 정도보어를 연결함]
灯;dēng;등, 램프
等;děng;기다리다
地方;dìfang;부분, 장소
地铁;dìtiě;지하철
地图;dìtú;지도
弟弟;dìdi;남동생
第一;dìyī;제1, 첫 번째
点;diǎn;시(時), 주문하다
电脑;diànnǎo;컴퓨터
电视;diànshì;텔레비전
电梯;diàntī;엘리베이터
电影;diànyǐng;영화
电子邮件;diànzi yóujiàn;이메일, 전자우편
东;dōng;동쪽
东西;dōngxi;물건, 것
冬;dōng;겨울, 겨울철
懂;dǒng;알다, 이해하다
动物;dòngwù;동물
都;dōu;모두, 다
读;dú;읽다, 학습하다
短;duǎn;짧다
锻炼;duànliàn;단련하다, 운동하다
段;duàn;단락, 구간
对;duì;맞다, 대하다, ~에 대하여
对不起;duìbuqǐ;미안합니다
多;duō;많다
多么;duōme;얼마나, 매우
多少;duōshao;얼마, 몇
饿;è;배고프다
儿子;érzi;아들
二;èr;2, 둘
而且;érqiě;게다가, 또한
耳朵;ěrduo;귀
发烧;fāshāo;열이 나다
发现;fāxiàn;발견하다, 알게 되다
饭店;fàndiàn;호텔, 음식점
方便;fāngbiàn;편리하다
房间;fángjiān;방
放;fàng;놓다, 석방하다
放心;fàngxīn;안심하다
非常;fēicháng;매우, 대단히
飞机;fēijī;비행기
分;fēn;나누다, 점수, 분
附近;fùjìn;부근, 근처
复习;fùxí;복습하다
干净;gānjìng;깨끗하다
敢;gǎn;감히 ~하다, 용기가 있다
感冒;gǎnmào;감기, 감기에 걸리다
刚才;gāngcái;방금, 막
高;gāo;높다, (키가) 크다
高兴;gāoxìng;기쁘다, 즐겁다
告诉;gàosu;알리다, 말하다
哥哥;gēge;형, 오빠
个;gè;개, 명 [일반적인 양사]
给;gěi;주다, ~에게
跟;gēn;~와, ~를 따라가다
根据;gēnjù;~에 근거하여, 기초
更;gèng;더욱, 한층 더
公共汽车;gōnggòng qìchē;버스
公斤;gōngjīn;킬로그램(kg)
公司;gōngsī;회사
工作;gōngzuò;일하다, 직업
狗;gǒu;개
故事;gùshi;이야기
关;guān;닫다, 끄다
关心;guānxīn;관심을 갖다, 보살피다
关于;guānyú;~에 관하여
关系;guānxi;관계
贵;guì;비싸다, 귀하다
国家;guójiā;국가, 나라
果汁;guǒzhī;과일 주스
过去;guòqù;과거, 지난날, 지나가다
过;guò;지나다, [경험의 조사] ~한 적이 있다
还;hái;아직, 게다가, 더
还是;háishi;아니면, 여전히
孩子;háizi;아이, 자녀
害怕;hàipà;두려워하다, 무서워하다
汉语;Hànyǔ;중국어
好;hǎo;좋다, 좋다
好吃;hǎochī;맛있다
号;hào;날짜, 일, 번호
喝;hē;마시다
和;hé;~와, ~과
河;hé;강, 하천
黑;hēi;검다, 어둡다
黑板;hēibǎn;칠판
很;hěn;매우, 아주
红;hóng;붉다, 빨갛다
后面;hòumiàn;뒤, 뒷면
护照;hùzhào;여권
花;huā;꽃, (돈·시간을) 쓰다
花园;huāyuán;화원, 정원
画;huà;그림, 그리다
坏;huài;나쁘다, 고장 나다
欢迎;huānyíng;환영하다
还;huán;되돌려주다, 갚다
环境;huánjìng;환경
换;huàn;바꾸다, 환전하다
回;huí;돌아가다, 횟수
回答;huídá;대답하다
会议;huìyì;회의
会;huì;~할 수 있다, ~할 것이다, 모임
火车站;huǒchēzhàn;기차역
或者;huòzhě;혹은, 또는
机场;jīchǎng;공항
鸡蛋;jīdàn;계란, 달걀
机会;jīhuì;기회
极;jí;매우, 극도로
几;jǐ;몇, 어느 정도
记得;jìde;기억하다
季节;jìjié;계절
家;jiā;집, 가정, [양사]
检查;jiǎnchá;검사하다, 점검하다
简单;jiǎndān;간단하다
件;jiàn;개, 벌 [옷·일의 양사]
健康;jiànkāng;건강, 건강하다
见面;jiànmiàn;만나다, 얼굴을 마주하다
